"key","title","id","number","oldStopNumber","revision","createdAt","updatedAt"
43,Sculpture of a winged bull,4hG8cKYwBG2gi4AuqEMUSk,216,133,5,2015-10-15T10:38:30.915Z,2015-11-20T11:25:56.884Z
44,Ewer and cover,2rQYiGyarSOwWmmoMWKaG6,332,212,7,2015-10-16T16:02:36.902Z,2015-12-07T14:13:37.307Z
45,Processional standards from Iran,4xwPhFW54cSAaCaYUuWCwu,295,200,7,2015-08-24T08:40:58.286Z,2015-11-19T21:37:46.216Z
46,Jar with a dragon,4nT0fmjNyw8gaAaYIO86IG,315,179,8,2015-08-24T08:34:19.807Z,2016-07-25T11:19:59.399Z
47,Ceremonial ballgame belt,4MEKt8gkLScgoeCqakWYq6,146,176,8,2015-10-14T20:11:03.871Z,2016-09-16T08:41:39.143Z
48,Double-headed serpent mosaic,4xMsCIAJdKeIEmooa20YcE,141,173,8,2015-08-24T08:31:30.641Z,2016-09-16T08:36:25.206Z
49,Ceremonial dagger from Oxborough,X92efvNeeq8Y6YyEyEWMS,436,249,4,2015-10-18T11:27:18.446Z,2015-11-19T17:00:43.598Z
50,Flask with birds and flowering tree,6NXGwuSTMAs4CCgYAyY6M2,334,211,6,2015-10-16T16:04:41.899Z,2015-11-28T17:03:54.331Z
51,Sphinx of King Taharqo,1K5T7UJdzOIOM4cimQ0CCq,342,274,4,2015-10-16T16:06:25.932Z,2015-11-20T11:44:01.914Z
52,Axehead,1qTGmJcws80YAGI6iMi2wK,434,248,5,2015-10-18T11:22:54.316Z,2015-11-19T16:41:14.674Z
53,Two British handaxes,1Pz0UD5ncgUQIKUEaEyyUw,122,NULL,9,2015-11-20T10:06:05.105Z,2015-11-28T17:26:54.070Z
54,Coin of Offa,1Gf3MrWv1OoeKI6omiyM2S,523,275,6,2015-10-18T14:34:21.420Z,2016-01-28T09:25:32.255Z
55,Vase with winged handles,SpArDlxMiYksM2QACIOe0,493,230,5,2015-10-18T11:53:56.566Z,2015-11-20T12:36:15.743Z
56,Artwork titled Man's Cloth,A9TP8bIOL6Guy4WE2wWi4,181,NULL,8,2015-10-14T09:03:55.835Z,2015-12-08T13:35:45.148Z
57,Pookmis mask,22626eTuvqSeO0oWEcm8iA,153,NULL,8,2015-10-13T19:27:35.143Z,2016-09-16T08:43:55.746Z
58,Column from a temple of Artemis,5pZIbcnbbOyiAyiI4gigsq,281,148,5,2015-10-15T11:42:34.632Z,2015-11-19T17:14:59.577Z
59,The Lion of Knidos,5b6p4IX3agyw64QGKACkEI,191,NULL,10,2015-08-24T08:59:55.468Z,2015-12-08T13:42:06.074Z
60,Relief of a winged bull,32E7VVTeVa8GE2gm20cKSE,217,130,6,2015-10-15T10:41:00.881Z,2015-11-20T15:26:37.617Z
61,Model of a gamelan ,4gAgs4WaGcAmsymaaQgsES,134,112,13,2015-08-24T08:21:24.151Z,2015-11-20T13:01:21.588Z
62,Leather skirt from Tanzania,PVlPg0U1QyiGcyaKaK8EU,187,NULL,7,2015-10-14T10:58:12.618Z,2015-11-19T21:06:09.808Z
63,Head and arm from a statue of King Amenhotep III,1u8eOwfOXimkMKeWaOqI6M,205,NULL,8,2015-10-14T11:07:02.887Z,2015-11-19T20:46:47.875Z
64,Zoomorphic pipes,2ZbCStylYkumiQwcO4mwG4,151,169,7,2015-08-24T08:28:25.213Z,2016-09-16T08:42:24.576Z
65,Helmet of a murmillo,11RnlayAgQEo0gKikyyUum,532,281,6,2015-10-18T14:40:22.244Z,2015-11-19T20:50:22.700Z
66,Sculpture of Aphrodite and Dione,1NYyobNyG4Yia4OEK6Memu,266,325,6,2015-10-15T11:34:43.852Z,2015-11-19T21:46:35.478Z
67,Model of cattle,2IPsXFqo8UeguYWsEKGYou,355,273,7,2015-08-24T08:52:34.238Z,2015-11-28T17:04:45.299Z
68,Woman's saddle,269Fl1ploU4GYeyowgIYIM,158,NULL,7,2015-10-13T21:08:29.269Z,2016-09-16T08:46:19.896Z
69,South frieze of a horse-drawn chariot,EgrfcTGUUKQC2OoSmGUOa,260,334,6,2015-10-15T11:24:20.961Z,2015-12-07T14:09:07.863Z
70,The Deblin Cup,5u2m58YjVCcuOmSUOKCEqe,104,NULL,10,2015-10-13T19:09:17.218Z,2015-11-20T11:52:06.211Z
71,The David Vases,1VuQ35xzekmMy6qkE6Wa4m,331,210,11,2015-08-24T08:59:15.387Z,2015-11-20T11:50:42.478Z
72,Yaxchilan lintel,6fA68VgSUogcW2WUSUimiw,145,174,7,2015-10-14T20:03:46.246Z,2016-09-16T08:40:48.974Z
73,Artwork titled Cradle to Grave,5ul6C15N96McSM8GkW4Cke,165,NULL,7,2015-10-13T21:15:43.509Z,2015-11-24T21:07:00.650Z
74,Rock gongs,3SV83kwBlm2MQkGU8egkEq,343,NULL,9,2015-10-14T11:13:31.596Z,2015-11-19T21:43:40.953Z
75,Wooden duck,78aeEyd4mAWES8g0G0SmSW,323,208,7,2015-08-24T08:53:56.552Z,2016-06-21T16:24:59.980Z
76,Ceramic tomb figures,1L07ZDowmkOkoEg8kGOuOW,314,178,7,2015-08-24T08:33:31.784Z,2016-07-25T11:18:51.602Z
77,Mosque lamp,1xI0eSek3Om46uI88gCQ02,293,201,4,2015-10-15T11:48:20.002Z,2015-11-19T21:23:21.848Z
78,Vase of a warrior and horse,69BvXcsXJYomqCG4UiwqOw,571,292,4,2015-10-18T14:52:37.553Z,2015-11-20T12:35:08.426Z
79,Mummy-mask of Satdjehuty,65OSjU7wv6mAuaggyiM2Yw,367,269,9,2015-08-24T08:51:07.880Z,2016-02-25T12:08:09.580Z
80,The Foundry Hoard,5uMuLiefdYGIws8QwU66ii,562,290,5,2015-10-18T14:49:16.965Z,2015-11-20T11:56:18.324Z
81,Mask of Tezcatlipoca,76UVNQgnnO06G8gy4cweeg,142,NULL,7,2015-10-13T19:24:00.032Z,2016-09-16T08:39:08.151Z
82,Stamp-seal of a unicorn,1RZvX0PHcE8KaaeaEWG48a,308,190,6,2015-10-15T12:01:54.791Z,2015-11-30T11:31:18.764Z
83,Knucklebone player,3vxf4IHK9qiMyKsUGEGkWO,114,NULL,7,2015-10-13T19:18:30.201Z,2015-11-19T21:05:18.995Z
84,Nereid Monument,1ELcsvhnW4A86sS0Su0AkA,242,142,7,2015-08-24T08:25:01.513Z,2015-11-19T21:27:56.826Z
85,Jericho skull,7mkKfTGc8guGSWCEKEGMUk,381,NULL,5,2015-10-14T11:22:04.988Z,2015-11-19T21:01:40.946Z
86,The Portland Vase,6dm3XbuJGggmosYGsQo6Iq,542,285,8,2015-08-24T08:57:59.027Z,2015-11-20T12:14:52.211Z
87,Maori bone comb,NiGRG39EmAYqYsOGuE2W2,132,111,7,2015-10-14T18:54:28.618Z,2015-11-19T21:10:20.539Z
88,Grinding stone,5BOhZ1D18Ao2mWCcCWqwUE,432,247,4,2015-10-18T11:19:41.082Z,2015-11-19T20:40:20.484Z
89,Sculpture of Hebe,Crdb7VU34cyYi6OGMEIMg,265,324,4,2015-10-15T11:33:39.448Z,2015-11-19T21:48:06.645Z
90,East frieze of a ritual,24lu9axfd2QkgcW6c6oYAk,258,339,6,2015-10-15T11:11:43.911Z,2015-11-19T20:18:34.768Z
91,Bronze ritual vessel,Zb7CsoeuqIW8SouQKGC8e,312,183,9,2015-08-24T08:36:50.082Z,2016-07-13T15:15:01.572Z
92,Pieces of eight,6j4ZIFRCvKKm2cOqAKqG0M,525,278,7,2015-08-24T08:57:04.115Z,2015-11-19T21:38:38.747Z
93,Australian bark shield,6hfjeFKFuEGcWqYyoKSOUS,131,110,7,2015-10-14T18:50:37.272Z,2015-11-26T21:31:40.246Z
94,The Hoxne Hoard,1MaAMYMiGEQkkK6YCkWOyY,455,235,7,2015-10-18T11:41:10.307Z,2015-11-20T12:07:59.358Z
95,Nereid Monument frieze,6lSg6do2zeYGoSQaCqCYoy,241,143,6,2015-10-15T10:54:18.964Z,2015-11-19T21:28:32.091Z
96,Introduction to the Enlightenment Gallery,12j1Czv91sGuYS6MECk0U4,120,340,8,2015-10-19T10:14:12.076Z,2015-11-30T08:30:53.915Z
97,Sculpture of Helios,6Yole8bkswYSsEgQ6Gc2wq,263,322,5,2015-10-15T11:31:10.819Z,2015-11-28T17:28:31.520Z
98,Jewellery and box,4lhpuSyoTu2msqGY2ScUwC,112,NULL,8,2015-10-13T19:14:35.769Z,2015-12-08T13:45:08.481Z
99,North frieze of horsemen,1bojvQsdoKyk0GwueGe0ug,268,333,7,2015-10-15T11:37:29.154Z,2015-11-30T10:54:49.080Z
100,Mildenhall treasure,iYeKxQo3C0ioMAYCMKuu8,454,238,5,2015-10-18T11:38:53.290Z,2015-11-19T21:13:24.356Z
101,Collection of shells,6YV4XeaoF206iGcIUMWE28,121,105,7,2015-08-24T08:18:48.454Z,2015-11-19T17:13:39.991Z
102,Ceramic bowl from The Path of Roses,4zlxmCyJgAgOcwGoOwqQkO,173,NULL,7,2015-10-13T21:26:13.508Z,2015-12-08T13:43:31.729Z
103,The Buddha preaching,3HwG7BrcsEOmUEw040e2Ys,305,187,7,2015-10-15T11:59:23.205Z,2016-07-13T14:21:06.802Z
104,Penny defaced by suffragettes,4KOTVzbNt6k04Iqo4yWwWW,527,279,4,2015-10-18T14:35:50.884Z,2015-11-19T21:35:20.136Z
105,Porcelain dish titled Dawn,4aqfq3kXQcU0GwsQ0IWaMy,597,NULL,6,2015-10-14T16:29:06.798Z,2015-12-08T13:44:05.950Z
